column_name,data_type,category,description
fin13bm,float64,Financial / Account Ownership & Access,
fin13blm,float64,Financial / Account Ownership & Access,
fin13bn,float64,Financial / Account Ownership & Access,
fin13cw,float64,Financial / Account Ownership & Access,
fin13cm,float64,Financial / Account Ownership & Access,
fin13clm,float64,Financial / Account Ownership & Access,
fin13cn,float64,Financial / Account Ownership & Access,
fin13e,float64,Financial / Account Ownership & Access,
fin13f,float64,Financial / Account Ownership & Access,
fin13f_1,float64,Financial / Account Ownership & Access,
fin15,float64,Financial / Account Ownership & Access,
fin16,float64,Financial / Account Ownership & Access,
fin22f,float64,Financial / Account Ownership & Access,
fin41,float64,Financial / Account Ownership & Access,
fin35,float64,Financial / Account Ownership & Access,
fin44,float64,Financial / Account Ownership & Access,
fh1_fh2,float64,Other / Needs Review,
fin28_29,float64,Financial / Account Ownership & Access,
fin31d_s,float64,Financial / Account Ownership & Access,
fin32_n33_34c_s,float64,Financial / Account Ownership & Access,
fin34c_s,float64,Financial / Account Ownership & Access,
fin43c_s,float64,Financial / Account Ownership & Access,
fin32_acc_s,float64,Financial / Account Ownership & Access,
fin34a_s,float64,Financial / Account Ownership & Access,
fin32_33_acc_s,float64,Financial / Account Ownership & Access,
inactive_t_d_s,float64,Other / Needs Review,
fing2p_fin_s,float64,Financial / Account Ownership & Access,
fin32_33_34a_s,float64,Financial / Account Ownership & Access,
fin32_n33_acc_s,float64,Financial / Account Ownership & Access,
fin37_39_acc_s,float64,Financial / Account Ownership & Access,
fin37_39c_s,float64,Financial / Account Ownership & Access,
fin31a_31b_s,float64,Financial / Account Ownership & Access,
fin31a_s,float64,Financial / Account Ownership & Access,
fin31b_s,float64,Financial / Account Ownership & Access,
fin32_n33_34a_s,float64,Financial / Account Ownership & Access,
fin37_39a_s,float64,Financial / Account Ownership & Access,
fin34d_s,float64,Financial / Account Ownership & Access,
fin32_33_34d_s,float64,Financial / Account Ownership & Access,
fin32_n33_34d_s,float64,Financial / Account Ownership & Access,
fing2p_card_s,float64,Financial / Account Ownership & Access,
fin37_39d_s,float64,Financial / Account Ownership & Access,
fin42_acc_s,float64,Financial / Account Ownership & Access,
fin32_33_34c_s,float64,Financial / Account Ownership & Access,
fin37_38_39c_s,float64,Financial / Account Ownership & Access,
fin38_39c_s,float64,Financial / Account Ownership & Access,
fing2p_acc_s,float64,Financial / Account Ownership & Access,
fing2p_cash_s,float64,Financial / Account Ownership & Access,
fin37_38_39a_s,float64,Financial / Account Ownership & Access,
fin37_38_39_acc_s,float64,Financial / Account Ownership & Access,
fin38_39a_s,float64,Financial / Account Ownership & Access,
fin38_39_acc_s,float64,Financial / Account Ownership & Access,
fin34b_s,float64,Financial / Account Ownership & Access,
fin32_n33_34b_s,float64,Financial / Account Ownership & Access,
fin43b_s,float64,Financial / Account Ownership & Access,
fin27b_s,float64,Financial / Account Ownership & Access,
fin27a_s,float64,Financial / Account Ownership & Access,
fin22h_s,float64,Financial / Account Ownership & Access,
fin28_29_s,float64,Financial / Account Ownership & Access,
fin28_s,float64,Financial / Account Ownership & Access,
fin29_s,float64,Financial / Account Ownership & Access,
fing2p_mob_s,float64,Financial / Account Ownership & Access,
fin37_38_39d_s,float64,Financial / Account Ownership & Access,
fin37_38_39b_s,float64,Financial / Account Ownership & Access,
fin37_39b_s,float64,Financial / Account Ownership & Access,
fin11_2a_s,float64,Financial / Account Ownership & Access,
fin11b_s,float64,Financial / Account Ownership & Access,
fin11f_s,float64,Financial / Account Ownership & Access,
fin11d_s,float64,Financial / Account Ownership & Access,
fin11e_s,float64,Financial / Account Ownership & Access,
fin9b_s,float64,Financial / Account Ownership & Access,
fin11_1_s,float64,Financial / Account Ownership & Access,
fin5m_s,float64,Financial / Account Ownership & Access,
fin6m_s,float64,Financial / Account Ownership & Access,
fin9a_s,float64,Financial / Account Ownership & Access,
fin5w_s,float64,Financial / Account Ownership & Access,
fin6w_s,float64,Financial / Account Ownership & Access,
fin17dm_s,float64,Financial / Account Ownership & Access,
fin17dlm_s,float64,Financial / Account Ownership & Access,
fin25e3w_s,float64,Financial / Account Ownership & Access,
fin25e3m_s,float64,Financial / Account Ownership & Access,
fin24d1_s,float64,Financial / Account Ownership & Access,
fin14d_s,float64,Financial / Account Ownership & Access,
fin24d2_s,float64,Financial / Account Ownership & Access,
fin11a_s,float64,Financial / Account Ownership & Access,
fin11c_s,float64,Financial / Account Ownership & Access,
fin5lm_s,float64,Financial / Account Ownership & Access,
fin6lm_s,float64,Financial / Account Ownership & Access,
fin17dw_s,float64,Financial / Account Ownership & Access,
fin14c_s,float64,Financial / Account Ownership & Access,
fin13_1a_s,float64,Financial / Account Ownership & Access,
fin13_1b_s,float64,Financial / Account Ownership & Access,
fin13am_s,float64,Financial / Account Ownership & Access,
fin13alm_s,float64,Financial / Account Ownership & Access,
fin13bm_s,float64,Financial / Account Ownership & Access,
fin13blm_s,float64,Financial / Account Ownership & Access,
fin13cm_s,float64,Financial / Account Ownership & Access,
fin13clm_s,float64,Financial / Account Ownership & Access,
fin21_s,float64,Financial / Account Ownership & Access,
fin14b_s,float64,Financial / Account Ownership & Access,
fin13cw_s,float64,Financial / Account Ownership & Access,
fin13f_s,float64,Financial / Account Ownership & Access,
fin14a_s,float64,Financial / Account Ownership & Access,
fin25e3lm_s,float64,Financial / Account Ownership & Access,
fin13aw_s,float64,Financial / Account Ownership & Access,
fin13bw_s,float64,Financial / Account Ownership & Access,
fin24d3_s,float64,Financial / Account Ownership & Access,
fin5n_s,float64,Financial / Account Ownership & Access,
fin6n_s,float64,Financial / Account Ownership & Access,
fin13f_1_s,float64,Financial / Account Ownership & Access,
fin32_33_34b_s,float64,Financial / Account Ownership & Access,
con1,float64,Connectivity / Digital,
con2a,float64,Connectivity / Digital,
con2b,float64,Connectivity / Digital,
con2c,float64,Connectivity / Digital,
con2d,float64,Connectivity / Digital,
con2e,float64,Connectivity / Digital,
con2f,float64,Connectivity / Digital,
con2g,float64,Connectivity / Digital,
con3a,float64,Connectivity / Digital,
con3b,float64,Connectivity / Digital,
con3c,float64,Connectivity / Digital,
con3d,float64,Connectivity / Digital,
con3e,float64,Connectivity / Digital,
con3f,float64,Connectivity / Digital,
con3g,float64,Connectivity / Digital,
con4,float64,Connectivity / Digital,
con5a,float64,Connectivity / Digital,
con5b,float64,Connectivity / Digital,
con6,float64,Connectivity / Digital,
con7,float64,Connectivity / Digital,
con8,float64,Connectivity / Digital,
con9a,float64,Connectivity / Digital,
con9b,float64,Connectivity / Digital,
con10,float64,Connectivity / Digital,
con11,float64,Connectivity / Digital,
con12d,float64,Connectivity / Digital,
con12w,float64,Connectivity / Digital,
con12m,float64,Connectivity / Digital,
con12lm,float64,Connectivity / Digital,
con13,float64,Connectivity / Digital,
con14,float64,Connectivity / Digital,
con15,float64,Connectivity / Digital,
con16,float64,Connectivity / Digital,
con17a,float64,Connectivity / Digital,
con17b,float64,Connectivity / Digital,
con17c,float64,Connectivity / Digital,
con17d,float64,Connectivity / Digital,
con18,float64,Connectivity / Digital,
con19,float64,Connectivity / Digital,
con20,float64,Connectivity / Digital,
con21,float64,Connectivity / Digital,
con22,float64,Connectivity / Digital,
con23,float64,Connectivity / Digital,
internet,float64,Connectivity / Digital,
con26d,float64,Connectivity / Digital,
con26w,float64,Connectivity / Digital,
con26m,float64,Connectivity / Digital,
con26lm,float64,Connectivity / Digital,
con27,float64,Connectivity / Digital,
con28d,float64,Connectivity / Digital,
con28w,float64,Connectivity / Digital,
con28m,float64,Connectivity / Digital,
con28lm,float64,Connectivity / Digital,
con28n,float64,Connectivity / Digital,
con29,float64,Connectivity / Digital,
con30a,float64,Connectivity / Digital,
con30b,float64,Connectivity / Digital,
con30c,float64,Connectivity / Digital,
con30d,float64,Connectivity / Digital,
con30e,float64,Connectivity / Digital,
con30f,float64,Connectivity / Digital,
con30g,float64,Connectivity / Digital,
con30h,float64,Connectivity / Digital,
con31a,float64,Connectivity / Digital,
con31b,float64,Connectivity / Digital,
con31c,float64,Connectivity / Digital,
con31d,float64,Connectivity / Digital,
con31e,float64,Connectivity / Digital,
con31f,float64,Connectivity / Digital,
con31g,float64,Connectivity / Digital,
con31h,float64,Connectivity / Digital,
con32a,float64,Connectivity / Digital,
con32b,float64,Connectivity / Digital,
con32c,float64,Connectivity / Digital,
con32d,float64,Connectivity / Digital,
con32e,float64,Connectivity / Digital,
con32f,float64,Connectivity / Digital,
con32g,float64,Connectivity / Digital,
con32h,float64,Connectivity / Digital,
con10_s,float64,Connectivity / Digital,
con11_s,float64,Connectivity / Digital,
con12d_s,float64,Connectivity / Digital,
con14_s,float64,Connectivity / Digital,
con16_s,float64,Connectivity / Digital,
con17a_s,float64,Connectivity / Digital,
con17b_s,float64,Connectivity / Digital,
con18_s,float64,Connectivity / Digital,
con19_s,float64,Connectivity / Digital,
con20_s,float64,Connectivity / Digital,
con21_s,float64,Connectivity / Digital,
con26d_s,float64,Connectivity / Digital,
con27_s,float64,Connectivity / Digital,
con28m_s,float64,Connectivity / Digital,
con30a_s,float64,Connectivity / Digital,
con30b_s,float64,Connectivity / Digital,
con30c_s,float64,Connectivity / Digital,
con30d_s,float64,Connectivity / Digital,
con30e_s,float64,Connectivity / Digital,
con30f_s,float64,Connectivity / Digital,
con30g_s,float64,Connectivity / Digital,
con30h_s,float64,Connectivity / Digital,
con31a_s,float64,Connectivity / Digital,
con31b_s,float64,Connectivity / Digital,
con31f_s,float64,Connectivity / Digital,
con2a_s,float64,Connectivity / Digital,
con15_s,float64,Connectivity / Digital,
con17d_s,float64,Connectivity / Digital,
con29_s,float64,Connectivity / Digital,
con31d_s,float64,Connectivity / Digital,
con31h_s,float64,Connectivity / Digital,
con32a_s,float64,Connectivity / Digital,
con3a_s,float64,Connectivity / Digital,
con4_s,float64,Connectivity / Digital,
con28d_s,float64,Connectivity / Digital,
con28w_s,float64,Connectivity / Digital,
con23_s,float64,Connectivity / Digital,
con31c_s,float64,Connectivity / Digital,
con2b_s,float64,Connectivity / Digital,
con2d_s,float64,Connectivity / Digital,
con26w_s,float64,Connectivity / Digital,
con2c_s,float64,Connectivity / Digital,
con2e_s,float64,Connectivity / Digital,
con2g_s,float64,Connectivity / Digital,
con5b_s,float64,Connectivity / Digital,
con12m_s,float64,Connectivity / Digital,
con26lm_s,float64,Connectivity / Digital,
con12w_s,float64,Connectivity / Digital,
con2f_s,float64,Connectivity / Digital,
con13_s,float64,Connectivity / Digital,
con26m_s,float64,Connectivity / Digital,
con28lm_s,float64,Connectivity / Digital,
con5a_s,float64,Connectivity / Digital,
con17c_s,float64,Connectivity / Digital,
con32h_s,float64,Connectivity / Digital,
