year,regionwb24_hi,incomegroupwb24,pop_adult,account_t_d,mobileaccount_t_d,internet,Predicted_Adoption,countrynewwb,codewb
2011,East Asia & Pacific (excluding high income),Lower middle income,1973485.0,0.777170918,0.003044038,0.828401699,0.0030440380000000045,Mongolia,MNG
2011,Europe & Central Asia (excluding high income),Upper middle income,500343.0,0.504380175,0.003044038,0.828401699,0.004314252660000015,Montenegro,MNE
2011,South Asia (excluding high income),Lower middle income,17498633.0,0.253085585,0.003044038,0.828401699,0.0030440380000000045,Nepal,NPL
2011,High income,High income,13694510.0,0.986585294,0.003044038,0.828401699,0.0030440380000000045,Netherlands,NLD
2011,High income,High income,3443024.0,0.994367277,0.003044038,0.828401699,0.0030440380000000045,New Zealand,NZL
2011,Latin America & Caribbean (excluding high income),Lower middle income,3774402.0,0.142183321,0.003044038,0.828401699,0.0030440380000000045,Nicaragua,NIC
2011,Sub-Saharan Africa (excluding high income),Low income,8376813.0,0.015216987,0.003044038,0.828401699,0.0030440380000000045,Niger,NER
2011,Sub-Saharan Africa (excluding high income),Lower middle income,92621676.0,0.296675377,0.003044038,0.828401699,0.0030440380000000045,Nigeria,NGA
2011,Europe & Central Asia (excluding high income),Upper middle income,1569860.0,0.736989466,0.003044038,0.828401699,0.004314252660000015,North Macedonia,MKD
2011,High income,High income,1989124.0,0.736024165,0.003044038,0.828401699,0.0030440380000000045,Oman,OMN
2011,South Asia (excluding high income),Lower middle income,120857470.0,0.103062966,0.003044038,0.828401699,0.0030440380000000045,Pakistan,PAK
2011,High income,High income,2569368.0,0.249264954,0.003044038,0.828401699,0.0030440380000000045,Panama,PAN
2011,Latin America & Caribbean (excluding high income),Upper middle income,3870412.0,0.217201462,0.003044038,0.828401699,0.0030440380000000045,Paraguay,PRY
2011,Latin America & Caribbean (excluding high income),Upper middle income,20570757.0,0.204586854,0.003044038,0.828401699,0.0030440380000000045,Peru,PER
2011,East Asia & Pacific (excluding high income),Lower middle income,62034866.0,0.265559261,0.003044038,0.828401699,0.0030440380000000045,Philippines,PHL
2011,High income,High income,32308457.0,0.701942895,0.003044038,0.828401699,0.0030440380000000045,Poland,POL
2011,High income,High income,8967347.0,0.812294253,0.003044038,0.828401699,0.0030440380000000045,Portugal,PRT
2011,High income,High income,1392286.0,0.658753853,0.003044038,0.828401699,0.0030440380000000045,Qatar,QAT
2011,High income,High income,17058580.0,0.445916228,0.003044038,0.828401699,0.0030440380000000045,Romania,ROU
2011,Europe & Central Asia (excluding high income),Upper middle income,121177141.0,0.481784885,0.003044038,0.828401699,0.00482336614000002,Russian Federation,RUS
2011,Sub-Saharan Africa (excluding high income),Low income,5941330.0,0.327638222,0.003044038,0.828401699,0.0030440380000000045,Rwanda,RWA
2011,High income,High income,17354530.0,0.464206603,0.003044038,0.828401699,0.0030440380000000045,Saudi Arabia,SAU
2011,Sub-Saharan Africa (excluding high income),Lower middle income,7243499.0,0.05821141,0.003044038,0.828401699,0.0030440380000000045,Senegal,SEN
2011,Europe & Central Asia (excluding high income),Upper middle income,6237019.0,0.622162233,0.003044038,0.828401699,0.0030440380000000045,Serbia,SRB
2011,Sub-Saharan Africa (excluding high income),Low income,3534329.0,0.153417554,0.003044038,0.828401699,0.0030440380000000045,Sierra Leone,SLE
2011,High income,High income,4359214.0,0.982218923,0.003044038,0.828401699,0.0030440380000000045,Singapore,SGP
2011,High income,High income,4557830.0,0.795830118,0.003044038,0.828401699,0.0030440380000000045,Slovak Republic,SVK
2011,High income,High income,1758964.0,0.971437133,0.003044038,0.828401699,0.0030440380000000045,Slovenia,SVN
2011,Sub-Saharan Africa (excluding high income),Upper middle income,36953226.0,0.536450756,0.003044038,0.828401699,0.0030440380000000045,South Africa,ZAF
2011,High income,High income,39626900.0,0.93277603,0.003044038,0.828401699,0.0030440380000000045,Spain,ESP
2011,South Asia (excluding high income),Lower middle income,15571720.0,0.685261647,0.003044038,0.828401699,0.0030440380000000045,Sri Lanka,LKA
