countrynewwb,year,account_t_d,pop_adult,mobileaccount_t_d,internet,Predicted_Adoption
Honduras,2014,0.314863604,5672647.0,0.034087009,,0.020224980070000006
"Hong Kong SAR, China",2014,0.961476401,6342961.0,,,0.05917694846476527
Hungary,2014,0.722568274,8464202.0,,,0.02780700637
India,2014,0.5314155,907853291.0,0.023522101,,0.02626175827000001
Indonesia,2014,0.360589893,185894322.0,0.004496315,,0.012063024369999991
"Iran, Islamic Rep.",2014,0.922802533,61676328.0,0.044956916,,0.03774007447999996
Iraq,2014,0.109723491,20884823.0,,,0.012793008739999993
Ireland,2014,0.947101387,3629630.0,,,0.016612008336415917
Israel,2014,0.899527758,5787501.0,,,0.025555678240000042
Italy,2014,0.873345771,51850742.0,,,0.012750211539999999
Jamaica,2014,0.78458207,2096466.0,0.009165031,,0.13255393762641607
Japan,2014,0.966455822,110762343.0,,,0.026657779669999954
Jordan,2014,0.246159099,5205320.0,0.004686658,,0.014938321420000004
Kazakhstan,2014,0.539074168,12875804.0,,,0.4444696437800005
Kenya,2014,0.746578329,25714887.0,0.583926337,,0.47421674379000023
"Korea, Rep.",2014,0.943608135,43035419.0,,,0.009478256338590998
Kosovo,2014,0.47803151,1334099.0,,,0.040570709100000026
Kuwait,2014,0.729081838,2736473.0,,,0.02148224283000002
Kyrgyz Republic,2014,0.184706012,3978542.0,,,0.02180089991000002
Latvia,2014,0.902182506,1719348.0,,,0.17667773651566387
Lebanon,2014,0.469271357,4265657.0,0.006707376,,0.01530802604000002
Lithuania,2014,0.779062865,2524428.0,,,0.04177905554000003
Luxembourg,2014,0.961686997,451457.0,,,0.049227971772079625
Madagascar,2014,0.085513387,13785487.0,0.043560187,,0.04071430841641598
Malawi,2014,0.180924196,8735190.0,0.038441009,,0.06407564102641597
Malaysia,2014,0.806746218,22158615.0,0.028302111,,0.0235471855938258
Mali,2014,0.200760415,9100789.0,0.116424546,,0.0781322178656638
Malta,2014,0.963279934,364279.0,,,0.06151848998924772
Mauritania,2014,0.228658822,2084692.0,0.06480396,,0.05954628108283182
Mauritius,2014,0.822082722,1010413.0,0.008643314,,0.13384943168000016
Mexico,2014,0.391408432,84399247.0,0.034240299,,0.01906026816999998
Moldova,2014,0.177557472,2361002.0,,,0.041817761020000004
Mongolia,2014,0.918217819,2074233.0,0.049979871,,0.15011473794401314
Montenegro,2014,0.598260088,504976.0,,,0.07097133635999996
Myanmar,2014,0.22784195,36618649.0,0.001637921,,0.004862363044765156
Namibia,2014,0.588338977,1427950.0,0.103590939,,0.1741955131699999
Nepal,2014,0.338013509,18161615.0,0.003360386,,0.007196119234295489
Netherlands,2014,0.992956045,13933854.0,,,0.012014275944765156
New Zealand,2014,0.995255333,3534713.0,,,0.019323026129247755
Nicaragua,2014,0.19438484,4012287.0,0.010537743,,0.01390112633
Niger,2014,0.067065881,9371030.0,0.038526655,,0.03785781666000004
Nigeria,2014,0.444419847,100567840.0,0.022949613,,0.30705170147641586
North Macedonia,2014,0.717984973,1565432.0,,,0.09203136125000004
Norway,2014,1.0,4150602.0,,,0.05442910463
Pakistan,2014,0.130361911,128875593.0,0.057997994,,0.03996044460999997
Panama,2014,0.436621402,2737867.0,0.015579504,,0.018272843569999992
Peru,2014,0.28975232,21413567.0,0.0,,0.007175637259999996
Philippines,2014,0.312858339,66911959.0,0.042258738,,0.010406514030000012
Poland,2014,0.778621706,32293711.0,,,0.010562875733825828
Portugal,2014,0.873863542,8911922.0,,,0.020241014304765173
Puerto Rico,2014,0.697352646,2955855.0,,,0.05265627050999997
Romania,2014,0.608371569,16846776.0,0.00462934,,0.01245701448476516
Russian Federation,2014,0.673830915,120673872.0,,,0.15779271436000009
Rwanda,2014,0.421169126,6472142.0,0.180976852,,0.23337711630000002
Saudi Arabia,2014,0.694095879,20496432.0,,,0.04344015733000001
Senegal,2014,0.154245721,7858967.0,0.061883609,,0.055259347529999975
Serbia,2014,0.830923383,6141282.0,,,0.05237974154000006
Sierra Leone,2014,0.155800105,3858836.0,0.044523879,,0.032647955980000046
Singapore,2014,0.963525998,4691514.0,0.061494599,,0.048791167004765226
Slovak Republic,2014,0.772413961,4582684.0,,,0.030749473390000004
Slovenia,2014,0.972445144,1759867.0,,,0.28089552090340725
Somalia,2014,0.386603281,6719620.0,0.370659137,,0.27679977717000015
South Africa,2014,0.703174555,38992463.0,0.144281802,,0.23746405656999975
Spain,2014,0.975753066,39593406.0,,,0.007005369646621311
Sri Lanka,2014,0.826913823,15433197.0,0.0007663684765165,,0.010536752510205383
Sudan,2014,0.152684333,21021157.0,,,0.06608194072491146
Sweden,2014,0.997199194,7971436.0,,,0.010475208159999997
